date,latitude,longitude,no2_satellite
2019-06-08,19.31,73.05,34.8237
2019-06-08,19.35,72.77,44.523
2019-06-08,19.35,72.81,54.6987
2019-06-08,19.35,72.85,45.1123
2019-06-08,19.35,72.89,49.2567
2019-06-08,19.35,72.93,46.4889
2019-06-08,19.35,72.97,43.1261
2019-06-08,19.35,73.01,48.9841
2019-06-08,19.35,73.05,41.8154
2019-06-09,18.87,72.77,42.8457
2019-06-09,18.87,72.81,46.8795
2019-06-09,18.87,72.85,49.5006
2019-06-09,18.87,72.89,43.4045
2019-06-09,18.87,72.93,47.2346
2019-06-09,18.87,72.97,44.5541
2019-06-09,18.87,73.01,47.4014
2019-06-09,18.87,73.05,52.9918
2019-06-09,18.91,72.77,50.7648
2019-06-09,18.91,72.81,63.6836
2019-06-09,18.91,72.85,52.9918
2019-06-09,18.91,72.89,53.8726
2019-06-09,18.91,72.93,47.4926
2019-06-09,18.91,72.97,50.3225
2019-06-09,18.91,73.01,47.0277
2019-06-09,18.91,73.05,37.4444
2019-06-09,18.95,72.77,49.666
2019-06-09,18.95,72.81,52.9918
2019-06-09,18.95,72.85,72.3317
2019-06-09,18.95,72.89,59.2815
2019-06-09,18.95,72.93,46.0836
2019-06-09,18.95,72.97,36.5469
2019-06-09,18.95,73.01,52.9918
2019-06-09,18.95,73.05,51.796
2019-06-09,18.99,72.77,49.7438
2019-06-09,18.99,72.81,72.4897
2019-06-09,18.99,72.85,74.4255
2019-06-09,18.99,72.89,68.4304
2019-06-09,18.99,72.93,53.3058
2019-06-09,18.99,72.97,54.451
2019-06-09,18.99,73.01,52.3303
2019-06-09,18.99,73.05,52.9918
2019-06-09,19.03,72.77,55.3628
2019-06-09,19.03,72.81,85.4084
2019-06-09,19.03,72.85,83.6711
2019-06-09,19.03,72.89,84.5834
2019-06-09,19.03,72.93,79.0001
2019-06-09,19.03,72.97,52.9918
2019-06-09,19.03,73.01,59.3146
2019-06-09,19.03,73.05,57.0338
2019-06-09,19.07,72.77,62.9933
2019-06-09,19.07,72.81,93.9454
2019-06-09,19.07,72.85,94.068
2019-06-09,19.07,72.89,87.5948
2019-06-09,19.07,72.93,52.9918
2019-06-09,19.07,72.97,52.9918
2019-06-09,19.07,73.01,55.9111
2019-06-09,19.07,73.05,33.0944
2019-06-09,19.11,72.77,73.6191
2019-06-09,19.11,72.81,52.9918
2019-06-09,19.11,72.85,79.6952
2019-06-09,19.11,72.89,87.0493
2019-06-09,19.11,72.93,77.3667
2019-06-09,19.11,72.97,58.0658
2019-06-09,19.11,73.01,57.1467
2019-06-09,19.11,73.05,52.32
2019-06-09,19.15,72.77,52.9918
2019-06-09,19.15,72.81,52.9918
2019-06-09,19.15,72.85,66.7777
2019-06-09,19.15,72.89,72.5419
2019-06-09,19.15,72.93,65.1654
2019-06-09,19.15,72.97,52.9918
2019-06-09,19.15,73.01,52.9918
2019-06-09,19.15,73.05,57.7334
2019-06-09,19.19,72.77,57.5248
2019-06-09,19.19,72.81,56.2791
2019-06-09,19.19,72.85,71.4042
2019-06-09,19.19,72.89,69.324
2019-06-09,19.19,72.93,71.9938
2019-06-09,19.19,72.97,58.6285
2019-06-09,19.19,73.01,52.9918
2019-06-09,19.19,73.05,52.9918
2019-06-09,19.23,72.77,46.1608
2019-06-09,19.23,72.81,50.3354
2019-06-09,19.23,72.85,60.0533
2019-06-09,19.23,72.89,51.281
2019-06-09,19.23,72.93,68.0269
2019-06-09,19.23,72.97,54.8628
2019-06-09,19.23,73.01,48.3083
2019-06-09,19.23,73.05,45.5562
2019-06-09,19.27,72.77,44.3208
2019-06-09,19.27,72.81,34.8921
2019-06-09,19.27,72.85,45.4229
2019-06-09,19.27,72.89,61.8803
2019-06-09,19.27,72.93,50.0364
2019-06-09,19.27,72.97,54.7566
2019-06-09,19.27,73.01,52.6779
2019-06-09,19.27,73.05,41.2555
2019-06-09,19.31,72.77,47.4167
2019-06-09,19.31,72.81,30.8343
2019-06-09,19.31,72.85,55.9419
2019-06-09,19.31,72.89,55.1703
2019-06-09,19.31,72.93,47.3977
2019-06-09,19.31,72.97,44.2835
2019-06-09,19.31,73.01,40.3744
2019-06-09,19.31,73.05,48.1668
2019-06-09,19.35,72.77,44.9559
2019-06-09,19.35,72.81,16.8448
2019-06-09,19.35,72.85,37.1923
2019-06-09,19.35,72.89,31.1345
2019-06-09,19.35,72.93,29.2757
2019-06-09,19.35,72.97,48.0689
2019-06-09,19.35,73.01,37.2742
2019-06-09,19.35,73.05,52.9918
2019-06-10,18.87,72.77,44.4791
2019-06-10,18.87,72.81,35.1129
2019-06-10,18.87,72.85,33.7634
2019-06-10,18.87,72.89,42.7912
2019-06-10,18.87,72.93,52.9637
2019-06-10,18.87,72.97,41.0705
2019-06-10,18.87,73.01,39.3604
2019-06-10,18.87,73.05,56.4471
2019-06-10,18.91,72.77,56.6609
2019-06-10,18.91,72.81,52.9637
2019-06-10,18.91,72.85,51.4299
2019-06-10,18.91,72.89,51.7049
2019-06-10,18.91,72.93,56.5575
2019-06-10,18.91,72.97,47.7729
2019-06-10,18.91,73.01,52.9637
2019-06-10,18.91,73.05,45.5074
2019-06-10,18.95,72.77,70.4546
2019-06-10,18.95,72.81,52.9637
2019-06-10,18.95,72.85,68.2424
2019-06-10,18.95,72.89,51.0577
2019-06-10,18.95,72.93,52.2624
2019-06-10,18.95,72.97,69.0599
2019-06-10,18.95,73.01,56.6923
2019-06-10,18.95,73.05,49.7625
2019-06-10,18.99,72.77,78.7818
2019-06-10,18.99,72.81,64.5775
2019-06-10,18.99,72.85,77.5697
2019-06-10,18.99,72.89,78.2218
2019-06-10,18.99,72.93,52.9637
2019-06-10,18.99,72.97,50.3837
2019-06-10,18.99,73.01,53.3564
2019-06-10,18.99,73.05,51.339
2019-06-10,19.03,72.77,77.8142
2019-06-10,19.03,72.81,76.9549
2019-06-10,19.03,72.85,89.8625
2019-06-10,19.03,72.89,70.5259
2019-06-10,19.03,72.93,70.9461
2019-06-10,19.03,72.97,75.9101
2019-06-10,19.03,73.01,55.9422
2019-06-10,19.03,73.05,51.1167
2019-06-10,19.07,72.77,80.6681
2019-06-10,19.07,72.81,72.1896
2019-06-10,19.07,72.85,87.2617
2019-06-10,19.07,72.89,52.9637
2019-06-10,19.07,72.93,92.1014
2019-06-10,19.07,72.97,75.9906
2019-06-10,19.07,73.01,66.9551
2019-06-10,19.07,73.05,49.509
2019-06-10,19.11,72.77,55.7314
2019-06-10,19.11,72.81,63.6752
2019-06-10,19.11,72.85,97.8758
2019-06-10,19.11,72.89,91.3129
2019-06-10,19.11,72.93,82.9098
2019-06-10,19.11,72.97,69.0975
2019-06-10,19.11,73.01,52.4586
2019-06-10,19.11,73.05,49.4844
2019-06-10,19.15,72.77,54.4815
2019-06-10,19.15,72.81,60.4041
2019-06-10,19.15,72.85,81.5988
2019-06-10,19.15,72.89,61.6883
2019-06-10,19.15,72.93,61.3729
2019-06-10,19.15,72.97,60.5932
2019-06-10,19.15,73.01,56.5955
2019-06-10,19.15,73.05,52.9637
2019-06-10,19.19,72.77,43.8931
2019-06-10,19.19,72.81,64.536
2019-06-10,19.19,72.85,52.9637
2019-06-10,19.19,72.89,74.6933
2019-06-10,19.19,72.93,61.9906
2019-06-10,19.19,72.97,60.9834
2019-06-10,19.19,73.01,46.2265
2019-06-10,19.19,73.05,42.0077
2019-06-10,19.23,72.77,41.0515
2019-06-10,19.23,72.81,48.2731
2019-06-10,19.23,72.85,53.1089
